#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         147     1.37788     1.55277   0.0190611
         148     1.39029     1.55167   0.0189639
         149     1.39384     1.55061   0.0188662
         150     1.38573     1.54951   0.0187724
         151     1.38181      1.5484   0.0186809
         152     1.38026      1.5473   0.0185908
         153     1.37162     1.54615   0.0185047
         154     1.35337      1.5449   0.0184268
         155     1.37308     1.54379   0.0183412
         156     1.40272     1.54288   0.0182459
         157     1.40052     1.54198   0.0181522
         158     1.39244     1.54103    0.018062
         159     1.38843     1.54007   0.0179739
         160     1.37578     1.53904   0.0178909
         161     1.38072     1.53806   0.0178068
         162      1.4026     1.53722   0.0177165
         163      1.4111     1.53645   0.0176247
         164      1.3812      1.5355   0.0175426
         165     1.38148     1.53457   0.0174611
         166      1.3762     1.53362   0.0173819
         167     1.37818     1.53268   0.0173028
         168     1.39475     1.53186   0.0172192
         169     1.39548     1.53106   0.0171363
         170     1.38666     1.53021   0.0170565
         171     1.37519      1.5293   0.0169808
         172     1.37042     1.52838   0.0169072
         173     1.38356     1.52754   0.0168302
         174     1.40727     1.52685   0.0167476
         175     1.39975     1.52612   0.0166677
         176     1.39441     1.52537   0.0165898
         177     1.38204     1.52456   0.0165158
         178      1.3805     1.52375   0.0164428
         179     1.39573     1.52304   0.0163665
         180     1.43521     1.52255   0.0162829
         181     1.43194     1.52205   0.0162006
         182     1.39124     1.52133   0.0161275
         183      1.3857     1.52059   0.0160564
         184     1.41724     1.52003    0.015979
         185     1.41939     1.51949   0.0159018
         186     1.43579     1.51904   0.0158227
         187     1.43229     1.51857   0.0157449
         188     1.41263     1.51801   0.0156712
         189     1.40287      1.5174   0.0156002
         190     1.37458     1.51665   0.0155361
         191     1.39364       1.516   0.0154681
         192     1.39084     1.51535   0.0154013
         193     1.38542     1.51468   0.0153362
         194      1.3835       1.514   0.0152721
         195     1.38282     1.51333   0.0152086
         196     1.37599     1.51263   0.0151471
         197     1.37191     1.51191    0.015087
         198     1.36856     1.51119   0.0150282
         199     1.37191     1.51049    0.014969
         200     1.38862     1.50988   0.0149065
         201     1.37716     1.50922    0.014847
         202     1.36227     1.50849   0.0147913
         203     1.35643     1.50774   0.0147374
         204     1.35501       1.507   0.0146842
         205     1.36867     1.50632    0.014628
         206     1.36482     1.50563   0.0145731
         207     1.35197     1.50489   0.0145216
         208      1.3492     1.50414   0.0144711
         209     1.34599     1.50339   0.0144216
         210     1.34697     1.50264   0.0143722
         211     1.34301     1.50188   0.0143239
         212     1.34428     1.50114   0.0142757
         213     1.34782     1.50042   0.0142268
         214     1.34241     1.49968   0.0141794
         215     1.34967     1.49899   0.0141306
         216     1.35497     1.49832   0.0140809
         217     1.35725     1.49767   0.0140311
         218     1.35204       1.497   0.0139826
         219      1.3605     1.49638   0.0139326
         220     1.36751     1.49579   0.0138816
         221     1.34802     1.49512   0.0138349
