#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.34042     1.34042           0
           2     1.35303     1.34672  0.00446111
           3     1.36892     1.35412  0.00673371
           4     1.33544     1.34945  0.00646999
           5     1.32259     1.34408  0.00706311
           6     1.34093     1.34356  0.00590537
           7     1.35845     1.34568  0.00543175
           8     1.34544     1.34565  0.00475287
           9     1.35179     1.34634   0.0042734
          10     1.36391     1.34809  0.00419182
          11      1.3754     1.35058  0.00448588
          12     1.38724     1.35363  0.00504662
          13     1.41163     1.35809  0.00633056
          14      1.4091     1.36174  0.00684713
          15     1.39758     1.36413  0.00679482
          16     1.38724     1.36557   0.0065219
          17     1.38626     1.36679  0.00625074
          18     1.39142     1.36816  0.00605139
          19     1.39198     1.36941  0.00586135
          20     1.37203     1.36954  0.00556974
          21     1.38688     1.37037  0.00536536
          22     1.38474     1.37102  0.00516111
          23     1.38981     1.37184  0.00500096
          24     1.39235     1.37269   0.0048651
          25     1.39083     1.37342  0.00472427
          26     1.36867     1.37323  0.00454609
          27      1.3553     1.37257  0.00442596
          28     1.36472     1.37229  0.00427675
          29     1.37532     1.37239  0.00413055
          30     1.39128     1.37302  0.00404055
          31     1.38424     1.37339  0.00392639
          32     1.38309     1.37369  0.00381537
          33     1.39093     1.37421  0.00373536
          34     1.43042     1.37586  0.00397452
          35     1.48342     1.37894  0.00490724
          36     1.51593     1.38274  0.00606957
          37     1.51475     1.38631  0.00687461
          38     1.49924     1.38928  0.00730791
          39     1.47261     1.39142  0.00742633
          40     1.48327     1.39372  0.00758739
          41     1.50527     1.39644  0.00787508
          42     1.54643     1.40001  0.00845867
          43     1.61286     1.40496  0.00960172
          44     1.68251     1.41127   0.0112666
          45      1.7506     1.41881   0.0133026
          46     1.83037     1.42775   0.0157371
          47     1.98312     1.43957   0.0193361
          48     2.05726     1.45244   0.0228171
          49     2.14119     1.46649   0.0263273
          50     2.01813     1.47753   0.0280173
