#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.3008      1.3008           0
           2       1.316      1.3084  0.00537422
           3     1.30932     1.30871  0.00359157
           4     1.32536     1.31287  0.00449993
           5     1.33188     1.31667  0.00495202
           6     1.33509     1.31974   0.0049886
           7     1.33085     1.32133  0.00452131
           8     1.34437     1.32421   0.0047864
           9     1.32093     1.32384  0.00426838
          10     1.29519     1.32098  0.00470589
          11     1.30375     1.31941  0.00453123
          12     1.34174     1.32127  0.00451959
          13     1.31554     1.32083  0.00419339
          14     1.33317     1.32171  0.00398534
          15     1.33368     1.32251   0.0037986
          16     1.31675     1.32215  0.00357819
          17     1.34026     1.32322  0.00352278
          18     1.36123     1.32533  0.00390923
          19     1.33816       1.326  0.00376134
          20     1.34641     1.32702  0.00370901
          21     1.36835     1.32899  0.00402065
          22     1.39406     1.33195  0.00480419
          23     1.32897     1.33182  0.00459707
          24     1.31837     1.33126  0.00443954
          25     1.33513     1.33141  0.00426467
          26     1.33505     1.33155  0.00410293
          27     1.32538     1.33133  0.00395733
          28     1.32716     1.33118  0.00381878
          29     1.32054     1.33081  0.00370467
          30     1.31468     1.33027  0.00361999
          31     1.31369     1.32974  0.00354253
          32     1.32689     1.32965  0.00343295
          33     1.32109     1.32939  0.00333869
          34     1.34028     1.32971  0.00325584
          35     1.33706     1.32992  0.00316957
          36     1.33182     1.32997  0.00308197
          37     1.29413       1.329  0.00314721
          38     1.29994     1.32824  0.00315598
          39     1.31323     1.32785  0.00309843
          40       1.325     1.32778  0.00302179
          41     1.36592     1.32871  0.00308796
          42     1.31797     1.32846  0.00302502
          43     1.33218     1.32854  0.00295591
          44     1.34355     1.32888  0.00290834
          45     1.35667      1.3295  0.00290852
          46     1.36158      1.3302  0.00292768
          47     1.33824     1.33037  0.00287038
          48     1.33407     1.33045  0.00281162
          49     1.35689     1.33099  0.00280555
          50     1.32106     1.33079  0.00275646
