#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.414235   -0.414235           0
           2   -0.433228   -0.423732  0.00671517
           3   -0.456757    -0.43474   0.0100415
           4   -0.406685   -0.427726  0.00967541
           5   -0.387337   -0.419648   0.0105884
           6   -0.415622   -0.418977  0.00884492
           7   -0.441269   -0.422162  0.00813445
           8   -0.421632   -0.422096  0.00711791
           9   -0.431639   -0.423156  0.00640553
          10   -0.449705   -0.425811  0.00629116
          11   -0.466585   -0.429518  0.00672314
          12   -0.484395   -0.434091  0.00755987
          13    -0.52171   -0.440831  0.00951996
          14   -0.517456   -0.446304   0.0102937
          15    -0.49936   -0.449841   0.0101971
          16    -0.48416   -0.451986  0.00978277
          17   -0.483045   -0.453813  0.00937636
          18    -0.49044   -0.455848  0.00907357
          19   -0.491911   -0.457746   0.0087923
          20   -0.461452   -0.457931  0.00835464
          21   -0.484048   -0.459175  0.00804883
          22   -0.480761   -0.460156  0.00774255
          23   -0.488037   -0.461368  0.00750021
          24    -0.49218   -0.462652  0.00729676
          25   -0.489924   -0.463743  0.00708596
          26   -0.456368   -0.463459   0.0068191
          27   -0.436478    -0.46246  0.00663936
          28   -0.450768   -0.462042  0.00641536
          29   -0.466746   -0.462205  0.00619619
          30   -0.490007   -0.463131  0.00605856
          31   -0.479842    -0.46367  0.00588705
          32   -0.477761   -0.464111  0.00571952
          33   -0.490324   -0.464905  0.00560109
          34   -0.549722     -0.4674  0.00596607
          35    -0.62924   -0.472024   0.0073729
          36   -0.677357   -0.477727  0.00911099
          37   -0.676103   -0.483089   0.0103224
          38   -0.652131   -0.487537   0.0109675
          39    -0.61298   -0.490754    0.011148
          40    -0.62925   -0.494216   0.0113943
          41   -0.662672   -0.498325    0.011834
          42    -0.72533    -0.50373   0.0127268
          43   -0.825989   -0.511224   0.0144701
          44   -0.930693   -0.520758    0.016994
          45    -1.03332   -0.532148   0.0200738
          46    -1.15449   -0.545677   0.0237631
          47    -1.38505   -0.563536   0.0292074
          48    -1.49559   -0.582954   0.0344542
          49     -1.6193   -0.604104   0.0397155
          50    -1.43637   -0.620749   0.0422657
