#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.24446    -1.24446           0
           2   -0.656951   -0.950704    0.207715
           3   -0.614345   -0.838584    0.166001
           4   -0.578534   -0.773572     0.13664
           5   -0.492467   -0.717351    0.120323
           6   -0.453692   -0.673408    0.107996
           7   -0.395043   -0.633641   0.0996206
           8   -0.392565   -0.603507   0.0916125
           9   -0.394756   -0.580312   0.0843184
          10   -0.381916   -0.560473   0.0781858
          11   -0.399373   -0.545827   0.0724367
          12   -0.394542    -0.53322   0.0674885
          13   -0.418105   -0.524365   0.0628753
          14   -0.391428    -0.51487   0.0590968
          15   -0.338293   -0.503098   0.0563173
          16   -0.361971   -0.494278   0.0534837
          17   -0.366058   -0.486735   0.0508666
          18   -0.396426   -0.481718   0.0482875
          19   -0.375986   -0.476153   0.0460656
          20   -0.384523   -0.471572   0.0439896
