#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.354371   -0.354371           0
           2   -0.377215   -0.365793  0.00807652
           3    -0.36716   -0.366248  0.00539719
           4   -0.391271   -0.372504  0.00676275
           5   -0.401065   -0.378216  0.00744139
           6   -0.405925   -0.382834  0.00749844
           7    -0.39944   -0.385207  0.00679211
           8   -0.420067   -0.389564   0.0072066
           9   -0.384653   -0.389018   0.0064265
          10   -0.346054   -0.384722  0.00707577
          11   -0.358755   -0.382361  0.00681493
          12   -0.415925   -0.385158  0.00679678
          13   -0.376547   -0.384496  0.00630615
          14   -0.403043   -0.385821  0.00599325
          15   -0.403989   -0.387032  0.00571479
          16   -0.378459   -0.386496  0.00538267
          17   -0.413708   -0.388097  0.00529871
          18    -0.44507   -0.391262  0.00587412
          19   -0.410588   -0.392279  0.00565233
          20   -0.422956   -0.393813  0.00557394
          21    -0.45578   -0.396764  0.00603928
          22   -0.494729   -0.401217  0.00722219
          23   -0.396631   -0.401017  0.00691093
          24   -0.380794   -0.400175  0.00667415
          25   -0.405785   -0.400399  0.00641095
          26   -0.405754   -0.400605  0.00616769
          27   -0.391291    -0.40026  0.00594889
          28    -0.39405   -0.400038  0.00574056
          29   -0.384005   -0.399485  0.00556918
          30   -0.375266   -0.398678  0.00544174
          31   -0.373831   -0.397877   0.0053249
          32   -0.393652   -0.397745  0.00516013
          33   -0.384866   -0.397354   0.0050185
          34   -0.413831   -0.397839  0.00489424
          35   -0.409015   -0.398158  0.00476481
          36   -0.401031   -0.398238  0.00463312
          37   -0.344389   -0.396783  0.00473097
          38   -0.353223   -0.395636  0.00474332
          39   -0.373178    -0.39506  0.00465652
          40   -0.390853   -0.394955  0.00454129
          41   -0.452039   -0.396348  0.00463905
          42   -0.380056    -0.39596  0.00454478
          43   -0.401604   -0.396091  0.00444099
          44   -0.418623   -0.396603  0.00436948
          45   -0.438358   -0.397531  0.00436979
          46   -0.445478   -0.398573  0.00439735
          47   -0.410698   -0.398831  0.00431135
          48   -0.404476   -0.398949  0.00422313
          49   -0.438583   -0.399758   0.0042137
          50   -0.384848    -0.39946  0.00413996
