#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.01803     2.01803           0
           2     2.14114     2.07958   0.0435273
           3     2.05724     2.07213   0.0296487
           4      1.9831     2.04988   0.0294282
           5     1.83036     2.00597   0.0457849
           6      1.7506     1.96341   0.0544549
           7     1.68251     1.92328   0.0596567
           8     1.61286     1.88448   0.0635787
           9     1.54643     1.84692    0.066693
          10     1.50527     1.81275   0.0682155
          11     1.48327      1.7828   0.0682742
          12     1.47261     1.75695   0.0673002
          13     1.49924     1.73713   0.0649773
          14     1.51475     1.72124   0.0622473
          15     1.51593     1.70756   0.0595834
          16     1.48342     1.69355   0.0574826
          17     1.43042     1.67807   0.0561465
          18     1.39093     1.66212   0.0552469
          19     1.38309     1.64743    0.054256
          20     1.38424     1.63427   0.0531151
          21     1.39128      1.6227   0.0518308
          22     1.37532     1.61146     0.05068
          23     1.36472     1.60073   0.0495988
          24      1.3553      1.5905    0.048575
          25     1.36867     1.58163   0.0474355
          26     1.39083     1.57429   0.0461752
          27     1.39235     1.56755    0.044954
          28     1.38981      1.5612   0.0437944
          29     1.38474     1.55512   0.0427049
          30     1.38688     1.54951    0.041648
          31     1.37203     1.54379   0.0406962
          32     1.39198     1.53904   0.0396999
          33     1.39142     1.53457   0.0387481
          34     1.38626     1.53021   0.0378532
          35     1.38724     1.52612   0.0369915
          36     1.39758     1.52255   0.0361358
          37      1.4091     1.51949    0.035289
          38     1.41163     1.51665   0.0344743
          39     1.38724     1.51333   0.0337497
          40      1.3754     1.50988   0.0330816
          41     1.36391     1.50632   0.0324658
          42     1.35179     1.50264   0.0319006
          43     1.34544     1.49899   0.0313675
          44     1.35845     1.49579   0.0308168
          45     1.34093     1.49235   0.0303235
          46     1.32259     1.48866    0.029888
          47     1.33544      1.4854   0.0294293
          48     1.36892     1.48297   0.0289161
          49     1.35303     1.48032   0.0284473
          50     1.34042     1.47752   0.0280156
