#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.43646    -1.43646           0
           2    -1.62221    -1.52933   0.0656736
           3    -1.49387    -1.51751   0.0448338
           4    -1.38067     -1.4833   0.0448152
           5    -1.15115    -1.41687   0.0693957
           6    -1.03153    -1.35265   0.0823501
           7   -0.928525    -1.29206   0.0901606
           8   -0.823146    -1.23344   0.0960722
           9   -0.723553    -1.17679    0.100727
          10    -0.66206    -1.12532    0.102969
          11   -0.628967    -1.08019    0.103022
          12   -0.612825    -1.04125    0.101532
          13   -0.653248     -1.0114   0.0980105
          14   -0.675502   -0.987408   0.0939005
          15   -0.677478   -0.966746    0.089885
          16    -0.62789   -0.945567   0.0867263
          17   -0.548315     -0.9222   0.0847144
          18   -0.489176   -0.898143   0.0833539
          19   -0.478147   -0.876038   0.0818455
          20   -0.479734   -0.856222    0.080116
          21   -0.490647   -0.838814   0.0781694
          22    -0.46607   -0.821871   0.0764303
          23   -0.450307   -0.805716   0.0747951
          24   -0.436442    -0.79033   0.0732442
          25   -0.456906   -0.776993   0.0715183
          26   -0.489826   -0.765948   0.0696153
          27   -0.492185   -0.755809   0.0677713
          28   -0.488663   -0.746268   0.0660191
          29   -0.480662   -0.737109   0.0643747
          30   -0.483768   -0.728664   0.0627803
          31   -0.461789   -0.720055   0.0613426
          32   -0.491141   -0.712902   0.0598413
          33   -0.490907   -0.706175   0.0584048
          34   -0.482819   -0.699605   0.0570553
          35   -0.484747   -0.693467   0.0557544
          36    -0.50062    -0.68811   0.0544624
          37   -0.517074   -0.683487   0.0531862
          38   -0.520337   -0.679194   0.0519596
          39   -0.484393   -0.674199   0.0508668
          40   -0.466751   -0.669013   0.0498588
          41   -0.449215   -0.663652   0.0489301
          42    -0.43095   -0.658111   0.0480778
          43   -0.421903   -0.652618   0.0472725
          44   -0.441349   -0.647816   0.0464413
          45   -0.414472   -0.642631   0.0456979
          46    -0.38769   -0.637089   0.0450392
          47   -0.406948   -0.632192   0.0443463
          48   -0.457147   -0.628545   0.0435721
          49   -0.432989   -0.624554   0.0428653
          50   -0.413903   -0.620341   0.0422145
