#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.81275     1.81275           0
           2     1.45579     1.63427    0.126205
           3     1.37999     1.54951    0.108943
           4     1.39099     1.50988    0.088623
           5     1.34809     1.47752   0.0765781
           6     1.35105     1.45644   0.0666532
           7     1.32496     1.43766   0.0597193
           8     1.34885     1.42656   0.0532763
           9      1.3395     1.41689   0.0482268
          10      1.3138     1.40658   0.0444922
          11     1.30258     1.39712   0.0414397
          12     1.32848      1.3914   0.0383792
          13     1.31795     1.38575   0.0358405
          14       1.321     1.38113   0.0335776
          15     1.29801     1.37559    0.031793
          16     1.31679     1.37191   0.0300176
          17     1.31007     1.36827   0.0284714
          18      1.3142     1.36527   0.0270477
          19      1.3167     1.36271   0.0257446
          20     1.35198     1.36218    0.024463
          21     1.36088     1.36211   0.0232981
          22     1.32024     1.36021   0.0223168
          23     1.31948     1.35844   0.0214166
          24     1.36681     1.35879   0.0205271
          25     1.32832     1.35757   0.0197422
          26     1.31008     1.35574   0.0190672
          27     1.33585     1.35501   0.0183752
          28     1.35752      1.3551   0.0177192
          29     1.33726     1.35448   0.0171188
          30     1.32571     1.35352    0.016575
          31     1.32298     1.35254   0.0160696
          32     1.32638     1.35172   0.0155882
          33     1.31458     1.35059   0.0151564
          34     1.30983      1.3494    0.014758
          35     1.28776     1.34763    0.014441
          36     1.29099     1.34606   0.0141253
          37     1.32034     1.34537   0.0137607
          38     1.28581      1.3438   0.0134875
          39     1.30428     1.34279   0.0131796
          40     1.29542      1.3416   0.0129032
          41     1.30865      1.3408   0.0126135
          42     1.31418     1.34016   0.0123291
          43     1.32444      1.3398   0.0120478
          44     1.32962     1.33957   0.0117762
          45     1.33511     1.33947    0.011515
          46     1.33188      1.3393   0.0112658
          47     1.32536     1.33901     0.01103
          48     1.30932     1.33839   0.0108176
          49       1.316     1.33793   0.0106064
          50      1.3008     1.33719   0.0104203
