-0.432658    0.000000
-0.415266    0.017391
-0.440517    0.027174
-0.437208    0.019498
-0.409607    0.031463
-0.410277    0.025698
-0.416751    0.022663
-0.415886    0.019646
-0.415392    0.017333
-0.413621    0.015604
-0.412308    0.014175
-0.417999    0.014136
-0.418393    0.013009
-0.418214    0.012046
-0.417652    0.011228
-0.418527    0.010539
-0.414383    0.010732
-0.416980    0.010446
-0.415808    0.009951
-0.417479    0.009587
-0.419964    0.009451
-0.420166    0.009014
-0.421473    0.008711
-0.421345    0.008342
-0.420634    0.008032
-0.420986    0.007725
-0.421289    0.007440
-0.418532    0.007681
-0.419555    0.007482
-0.418980    0.007251
-0.419158    0.007015
-0.419416    0.006797
-0.418687    0.006629
-0.418522    0.006433
-0.418564    0.006246
-0.417946    0.006102
-0.418530    0.005963
-0.419453    0.005877
-0.419103    0.005735
-0.418938    0.005592
-0.419735    0.005512
-0.419694    0.005379
-0.418730    0.005340
-0.419879    0.005342
-0.419341    0.005250
-0.419329    0.005135
-0.419858    0.005052
-0.420777    0.005030
-0.421392    0.004965
-0.421907    0.004892
-0.421261    0.004838
-0.422155    0.004828
-0.421560    0.004773
-0.421638    0.004685
-0.420439    0.004752
-0.420429    0.004667
-0.419719    0.004639
-0.420006    0.004567
-0.420700    0.004542
-0.420799    0.004467
-0.421416    0.004436
-0.421442    0.004364
-0.421399    0.004295
-0.420866    0.004261
-0.420964    0.004196
-0.420719    0.004139
-0.419760    0.004188
-0.420588    0.004208
-0.421387    0.004223
-0.421167    0.004168
-0.421833    0.004162
-0.422105    0.004113
-0.422157    0.004057
-0.421307    0.004091
-0.421417    0.004037
-0.421847    0.004007
-0.420403    0.004210
-0.421136    0.004220
-0.421093    0.004167
-0.420784    0.004126
-0.421077    0.004085
-0.420051    0.004163
-0.420229    0.004117
-0.420575    0.004082
-0.420831    0.004042
-0.421020    0.003999
-0.421667    0.004005
-0.422323    0.004014
-0.421904    0.003990
-0.422242    0.003960
-0.422231    0.003916
-0.420137    0.004403
-0.420830    0.004410
-0.421180    0.004377
-0.421143    0.004331
-0.421702    0.004322
-0.421869    0.004280
-0.421665    0.004241
-0.421529    0.004200
-0.421993    0.004184
